[INFO] Experiment mode is :  ON
[INFO] ODE function :  laplacian
[INFO] Block type :  attention
[INFO] T value :  128.0
[INFO] L1 regularization on :  False
[INFO] L1 reg coefficient :  0.001
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
Epoch: 001, Runtime 0.911769, Loss 1.949119, forward nfe 242, backward nfe 0, Train: 0.2429, Val: 0.2456, Test: 0.2254, Best time: 0.0948
Epoch: 002, Runtime 0.860795, Loss 2.061026, forward nfe 1092, backward nfe 0, Train: 0.2429, Val: 0.2456, Test: 0.2254, Best time: 128.0000
Epoch: 003, Runtime 0.875922, Loss 1.984920, forward nfe 1948, backward nfe 0, Train: 0.2429, Val: 0.2456, Test: 0.2254, Best time: 128.0000
Epoch: 004, Runtime 0.894665, Loss 1.931863, forward nfe 2810, backward nfe 0, Train: 0.2429, Val: 0.2456, Test: 0.2254, Best time: 128.0000
Epoch: 005, Runtime 0.890946, Loss 1.893537, forward nfe 3672, backward nfe 0, Train: 0.3643, Val: 0.3015, Test: 0.2944, Best time: 0.8606
Epoch: 006, Runtime 0.893876, Loss 1.855464, forward nfe 4528, backward nfe 0, Train: 0.3643, Val: 0.4015, Test: 0.3797, Best time: 25.7018
Epoch: 007, Runtime 1.054221, Loss 1.785233, forward nfe 5378, backward nfe 0, Train: 0.4714, Val: 0.5199, Test: 0.4934, Best time: 20.2851
Epoch: 008, Runtime 0.843258, Loss 1.711639, forward nfe 6228, backward nfe 0, Train: 0.6143, Val: 0.6801, Test: 0.6660, Best time: 58.9077
Epoch: 009, Runtime 0.844314, Loss 1.611044, forward nfe 7078, backward nfe 0, Train: 0.6071, Val: 0.6956, Test: 0.6822, Best time: 12.1119
Epoch: 010, Runtime 0.976116, Loss 1.503142, forward nfe 7928, backward nfe 0, Train: 0.6857, Val: 0.7794, Test: 0.7584, Best time: 33.5176
Epoch: 011, Runtime 0.870148, Loss 1.391092, forward nfe 8778, backward nfe 0, Train: 0.6857, Val: 0.7794, Test: 0.7584, Best time: 128.0000
Epoch: 012, Runtime 0.881352, Loss 1.288255, forward nfe 9622, backward nfe 0, Train: 0.6857, Val: 0.7794, Test: 0.7584, Best time: 128.0000
Epoch: 013, Runtime 0.865968, Loss 1.263657, forward nfe 10466, backward nfe 0, Train: 0.6857, Val: 0.7794, Test: 0.7584, Best time: 128.0000
Epoch: 014, Runtime 0.864069, Loss 1.195560, forward nfe 11310, backward nfe 0, Train: 0.6857, Val: 0.7794, Test: 0.7584, Best time: 128.0000
