[INFO] Experiment mode is :  ON
[INFO] ODE function :  transformer
[INFO] Block type :  constant
[INFO] T value :  128.0
[INFO] L1 regularization on :  False
[INFO] L1 reg coefficient :  0.001
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1, 'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
GNNEarly
m1.module.weight
torch.Size([80, 3703])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([6, 80])
m2.module.bias
torch.Size([6])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.multihead_att_layer.output_var
torch.Size([1])
odeblock.odefunc.multihead_att_layer.lengthscale
torch.Size([1])
odeblock.odefunc.multihead_att_layer.Q.weight
torch.Size([32, 80])
odeblock.odefunc.multihead_att_layer.Q.bias
torch.Size([32])
odeblock.odefunc.multihead_att_layer.V.weight
torch.Size([32, 80])
odeblock.odefunc.multihead_att_layer.V.bias
torch.Size([32])
odeblock.odefunc.multihead_att_layer.K.weight
torch.Size([32, 80])
odeblock.odefunc.multihead_att_layer.K.bias
torch.Size([32])
odeblock.odefunc.multihead_att_layer.Wout.weight
torch.Size([80, 4])
odeblock.odefunc.multihead_att_layer.Wout.bias
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.multihead_att_layer.output_var
torch.Size([1])
odeblock.reg_odefunc.odefunc.multihead_att_layer.lengthscale
torch.Size([1])
odeblock.reg_odefunc.odefunc.multihead_att_layer.Q.weight
torch.Size([32, 80])
odeblock.reg_odefunc.odefunc.multihead_att_layer.Q.bias
torch.Size([32])
odeblock.reg_odefunc.odefunc.multihead_att_layer.V.weight
torch.Size([32, 80])
odeblock.reg_odefunc.odefunc.multihead_att_layer.V.bias
torch.Size([32])
odeblock.reg_odefunc.odefunc.multihead_att_layer.K.weight
torch.Size([32, 80])
odeblock.reg_odefunc.odefunc.multihead_att_layer.K.bias
torch.Size([32])
odeblock.reg_odefunc.odefunc.multihead_att_layer.Wout.weight
torch.Size([80, 4])
odeblock.reg_odefunc.odefunc.multihead_att_layer.Wout.bias
torch.Size([80])
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1, 'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 2.578147, Loss 1.791468, forward nfe 350, backward nfe 0, Train: 0.2417, Val: 0.2261, Test: 0.2274, Best time: 109.3879
Epoch: 002/100, Runtime 2.771301, Loss 1.775257, forward nfe 1320, backward nfe 0, Train: 0.4500, Val: 0.5449, Test: 0.5258, Best time: 91.5200
Epoch: 003/100, Runtime 2.675992, Loss 1.744011, forward nfe 2314, backward nfe 0, Train: 0.4500, Val: 0.5449, Test: 0.5258, Best time: 128.0000
Epoch: 004/100, Runtime 2.797932, Loss 1.679513, forward nfe 3374, backward nfe 0, Train: 0.4500, Val: 0.5449, Test: 0.5258, Best time: 128.0000
Epoch: 005/100, Runtime 3.298900, Loss 1.646719, forward nfe 4584, backward nfe 0, Train: 0.5167, Val: 0.5870, Test: 0.5581, Best time: 19.9240
Epoch: 006/100, Runtime 3.184915, Loss 1.634984, forward nfe 5764, backward nfe 0, Train: 0.5667, Val: 0.6877, Test: 0.6565, Best time: 24.4948
Epoch: 007/100, Runtime 3.037394, Loss 1.526552, forward nfe 6902, backward nfe 0, Train: 0.5667, Val: 0.6877, Test: 0.6565, Best time: 128.0000
Epoch: 008/100, Runtime 2.900930, Loss 1.519540, forward nfe 7986, backward nfe 0, Train: 0.5667, Val: 0.6877, Test: 0.6565, Best time: 128.0000
Epoch: 009/100, Runtime 2.833761, Loss 1.533629, forward nfe 9046, backward nfe 0, Train: 0.6583, Val: 0.7007, Test: 0.7032, Best time: 55.2128
Epoch: 010/100, Runtime 3.184718, Loss 1.573636, forward nfe 10208, backward nfe 0, Train: 0.6583, Val: 0.7007, Test: 0.7032, Best time: 128.0000
Epoch: 011/100, Runtime 3.088678, Loss 1.529837, forward nfe 11322, backward nfe 0, Train: 0.6583, Val: 0.7007, Test: 0.7032, Best time: 128.0000
Epoch: 012/100, Runtime 2.898534, Loss 1.509374, forward nfe 12406, backward nfe 0, Train: 0.6583, Val: 0.7007, Test: 0.7032, Best time: 128.0000
Epoch: 013/100, Runtime 3.467118, Loss 1.516281, forward nfe 13544, backward nfe 0, Train: 0.6583, Val: 0.7007, Test: 0.7032, Best time: 128.0000
Epoch: 014/100, Runtime 3.030750, Loss 1.500248, forward nfe 14652, backward nfe 0, Train: 0.6250, Val: 0.7072, Test: 0.7129, Best time: 85.1268
Epoch: 015/100, Runtime 2.990159, Loss 1.432380, forward nfe 15748, backward nfe 0, Train: 0.6333, Val: 0.7087, Test: 0.7032, Best time: 71.2093
Epoch: 016/100, Runtime 3.146399, Loss 1.441056, forward nfe 16898, backward nfe 0, Train: 0.6333, Val: 0.7087, Test: 0.7032, Best time: 128.0000
Epoch: 017/100, Runtime 3.638703, Loss 1.424913, forward nfe 18150, backward nfe 0, Train: 0.6333, Val: 0.7087, Test: 0.7032, Best time: 128.0000
Epoch: 018/100, Runtime 3.892798, Loss 1.367921, forward nfe 19444, backward nfe 0, Train: 0.6333, Val: 0.7087, Test: 0.7032, Best time: 128.0000
Epoch: 019/100, Runtime 3.382949, Loss 1.356887, forward nfe 20642, backward nfe 0, Train: 0.6333, Val: 0.7087, Test: 0.7032, Best time: 128.0000
Epoch: 020/100, Runtime 3.213017, Loss 1.347829, forward nfe 21804, backward nfe 0, Train: 0.6333, Val: 0.7087, Test: 0.7032, Best time: 128.0000
Epoch: 021/100, Runtime 4.007583, Loss 1.326186, forward nfe 23092, backward nfe 0, Train: 0.6333, Val: 0.7087, Test: 0.7032, Best time: 128.0000
Epoch: 022/100, Runtime 3.447433, Loss 1.348260, forward nfe 24302, backward nfe 0, Train: 0.6750, Val: 0.7333, Test: 0.7387, Best time: 128.0000
Epoch: 023/100, Runtime 3.354814, Loss 1.278910, forward nfe 25488, backward nfe 0, Train: 0.6750, Val: 0.7333, Test: 0.7387, Best time: 128.0000
Epoch: 024/100, Runtime 3.782752, Loss 1.289735, forward nfe 26770, backward nfe 0, Train: 0.6750, Val: 0.7333, Test: 0.7387, Best time: 128.0000
