[INFO] Experiment mode is :  ON
[INFO] ODE function :  ext_laplacian3
[INFO] Block type :  attention
[INFO] T value :  128.0
[INFO] L1 regularization on :  False
[INFO] L1 reg coefficient :  0.0
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Extended Laplacian Function V.3 ******************
Clipping Bound =  0.4
Alpha =  3.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
Clipping Bound =  0.4
Alpha =  3.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([80, 3703])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([6, 80])
m2.module.bias
torch.Size([6])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.multihead_att_layer.output_var
torch.Size([1])
odeblock.multihead_att_layer.lengthscale
torch.Size([1])
odeblock.multihead_att_layer.Q.weight
torch.Size([32, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([32])
odeblock.multihead_att_layer.V.weight
torch.Size([32, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([32])
odeblock.multihead_att_layer.K.weight
torch.Size([32, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([32])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 4])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 0.687254, Loss 1.793337, forward nfe 188, backward nfe 0, Train: 0.5750, Val: 0.5812, Test: 0.5403, Best time: 174.3521
Epoch: 002/100, Runtime 0.814969, Loss 1.748263, forward nfe 618, backward nfe 0, Train: 0.5417, Val: 0.5884, Test: 0.5661, Best time: 131.7571
Epoch: 003/100, Runtime 0.955702, Loss 1.653318, forward nfe 1264, backward nfe 0, Train: 0.7500, Val: 0.7174, Test: 0.7097, Best time: 111.2248
Epoch: 004/100, Runtime 1.065675, Loss 1.532483, forward nfe 2120, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 100.9860
Epoch: 005/100, Runtime 1.242183, Loss 1.398229, forward nfe 3072, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 006/100, Runtime 1.213128, Loss 1.346999, forward nfe 4018, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 007/100, Runtime 1.465998, Loss 1.227221, forward nfe 5036, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 008/100, Runtime 1.367078, Loss 1.107821, forward nfe 6072, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 009/100, Runtime 1.410233, Loss 1.155619, forward nfe 7126, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 010/100, Runtime 1.390635, Loss 1.253461, forward nfe 8174, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 011/100, Runtime 1.734001, Loss 1.198238, forward nfe 9396, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 012/100, Runtime 1.352533, Loss 1.261981, forward nfe 10414, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 013/100, Runtime 1.468202, Loss 1.209820, forward nfe 11462, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 014/100, Runtime 1.452729, Loss 1.260439, forward nfe 12546, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 015/100, Runtime 1.923281, Loss 1.184161, forward nfe 13744, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 016/100, Runtime 1.697442, Loss 1.160641, forward nfe 14960, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 017/100, Runtime 1.629592, Loss 1.153600, forward nfe 16134, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
Epoch: 018/100, Runtime 1.634039, Loss 1.052444, forward nfe 17308, backward nfe 0, Train: 0.8083, Val: 0.7688, Test: 0.7484, Best time: 128.0000
