[INFO] Experiment mode is :  ON
[INFO] ODE function :  ext_laplacian3
[INFO] Block type :  attention
[INFO] T value :  128.0
[INFO] L1 regularization on :  False
[INFO] L1 reg coefficient :  0.0
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Extended Laplacian Function V.3 ******************
Clipping Bound =  0.4
Alpha =  3.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
Clipping Bound =  0.4
Alpha =  3.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([128, 500])
m1.module.bias
torch.Size([128])
m2.module.weight
torch.Size([3, 128])
m2.module.bias
torch.Size([3])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([128, 128])
odeblock.odefunc.d
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([128, 128])
odeblock.reg_odefunc.odefunc.d
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([16])
odeblock.multihead_att_layer.V.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([16])
odeblock.multihead_att_layer.K.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([16])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: AdaptiveHeunSolver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 14.684175, Loss 1.099343, forward nfe 38, backward nfe 11, Train: 0.6500, Val: 0.5403, Test: 0.5409, Best time: 3.5444
Epoch: 002/100, Runtime 53.150432, Loss 1.068202, forward nfe 258, backward nfe 194, Train: 0.9167, Val: 0.7167, Test: 0.7046, Best time: 3.3142
Epoch: 003/100, Runtime 63.534842, Loss 1.014455, forward nfe 478, backward nfe 422, Train: 0.9167, Val: 0.7167, Test: 0.7046, Best time: 128.0000
Epoch: 004/100, Runtime 65.247338, Loss 0.932645, forward nfe 698, backward nfe 673, Train: 0.8333, Val: 0.7181, Test: 0.7124, Best time: 14.3911
Epoch: 005/100, Runtime 64.272560, Loss 0.827783, forward nfe 918, backward nfe 929, Train: 0.9000, Val: 0.7611, Test: 0.7555, Best time: 14.4126
Epoch: 006/100, Runtime 70.291547, Loss 0.722831, forward nfe 1138, backward nfe 1181, Train: 0.8167, Val: 0.7806, Test: 0.7683, Best time: 279.1870
Epoch: 007/100, Runtime 60.521491, Loss 0.642736, forward nfe 1364, backward nfe 1394, Train: 0.7500, Val: 0.7847, Test: 0.7702, Best time: 128.0000
Epoch: 008/100, Runtime 67.644741, Loss 0.526646, forward nfe 1590, backward nfe 1653, Train: 0.7833, Val: 0.7965, Test: 0.7867, Best time: 571.9766
Epoch: 009/100, Runtime 70.333885, Loss 0.502443, forward nfe 1804, backward nfe 1909, Train: 0.7833, Val: 0.8042, Test: 0.7919, Best time: 637.0807
Epoch: 010/100, Runtime 63.985180, Loss 0.453637, forward nfe 2018, backward nfe 2147, Train: 0.7833, Val: 0.8042, Test: 0.7919, Best time: 128.0000
Epoch: 011/100, Runtime 62.733450, Loss 0.388291, forward nfe 2238, backward nfe 2390, Train: 0.7833, Val: 0.8042, Test: 0.7919, Best time: 128.0000
Epoch: 012/100, Runtime 52.021605, Loss 0.397595, forward nfe 2446, backward nfe 2572, Train: 0.7833, Val: 0.8042, Test: 0.7919, Best time: 128.0000
Epoch: 013/100, Runtime 60.597240, Loss 0.363112, forward nfe 2654, backward nfe 2796, Train: 0.7833, Val: 0.8042, Test: 0.7919, Best time: 128.0000
Epoch: 014/100, Runtime 52.489776, Loss 0.350601, forward nfe 2850, backward nfe 3006, Train: 0.7833, Val: 0.8042, Test: 0.7919, Best time: 128.0000
Epoch: 015/100, Runtime 49.283240, Loss 0.334753, forward nfe 3058, backward nfe 3212, Train: 0.7833, Val: 0.8042, Test: 0.7919, Best time: 128.0000
Epoch: 016/100, Runtime 49.718326, Loss 0.347475, forward nfe 3272, backward nfe 3386, Train: 0.8500, Val: 0.8049, Test: 0.7855, Best time: 541.1038
Epoch: 017/100, Runtime 38.405859, Loss 0.308421, forward nfe 3486, backward nfe 3516, Train: 0.8500, Val: 0.8049, Test: 0.7855, Best time: 128.0000
