[INFO] Experiment mode is :  ON
[INFO] ODE function :  ext_laplacian3
[INFO] Block type :  attention
[INFO] T value :  64.0
[INFO] L1 regularization on :  False
[INFO] L1 reg coefficient :  0.001
/home/administrator/anaconda3/envs/grand/lib/python3.7/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Extended Laplacian Function V.3 ******************
Clipping Bound =  0.3
Alpha =  4.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
Clipping Bound =  0.3
Alpha =  4.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([64, 745])
m1.module.bias
torch.Size([64])
m2.module.weight
torch.Size([8, 64])
m2.module.bias
torch.Size([8])
bn_in.weight
torch.Size([64])
bn_in.bias
torch.Size([64])
bn_out.weight
torch.Size([64])
bn_out.bias
torch.Size([64])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([64, 64])
odeblock.odefunc.d
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([64, 64])
odeblock.reg_odefunc.odefunc.d
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
/home/administrator/anaconda3/envs/grand/lib/python3.7/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/250, Runtime 0.875161, Loss 2.183640, forward nfe 32, backward nfe 256, Train: 0.1875, Val: 0.1784, Test: 0.1680, Best time: 0.2154
Epoch: 002/250, Runtime 1.093542, Loss 1.847921, forward nfe 108, backward nfe 512, Train: 0.3312, Val: 0.2216, Test: 0.2066, Best time: 0.2019
Epoch: 003/250, Runtime 1.064885, Loss 1.687265, forward nfe 184, backward nfe 768, Train: 0.6062, Val: 0.3351, Test: 0.3321, Best time: 0.1976
Epoch: 004/250, Runtime 0.701421, Loss 1.507695, forward nfe 260, backward nfe 1024, Train: 0.7688, Val: 0.4761, Test: 0.4845, Best time: 2.1682
Epoch: 005/250, Runtime 0.770009, Loss 1.364732, forward nfe 330, backward nfe 1280, Train: 0.8500, Val: 0.5612, Test: 0.5794, Best time: 13.3386
Epoch: 006/250, Runtime 0.737577, Loss 1.265117, forward nfe 406, backward nfe 1536, Train: 0.8625, Val: 0.6209, Test: 0.6198, Best time: 40.6192
Epoch: 007/250, Runtime 0.743639, Loss 1.122364, forward nfe 482, backward nfe 1792, Train: 0.8875, Val: 0.6425, Test: 0.6471, Best time: 43.7415
Epoch: 008/250, Runtime 0.755964, Loss 0.981170, forward nfe 558, backward nfe 2048, Train: 0.9125, Val: 0.6955, Test: 0.7022, Best time: 48.1935
Epoch: 009/250, Runtime 0.740411, Loss 0.883134, forward nfe 634, backward nfe 2304, Train: 0.9125, Val: 0.6955, Test: 0.7022, Best time: 64.0000
Epoch: 010/250, Runtime 0.770691, Loss 0.790764, forward nfe 710, backward nfe 2560, Train: 0.9125, Val: 0.6955, Test: 0.7022, Best time: 64.0000
Epoch: 011/250, Runtime 0.704139, Loss 0.744740, forward nfe 780, backward nfe 2816, Train: 0.9625, Val: 0.7075, Test: 0.7436, Best time: 110.2143
Epoch: 012/250, Runtime 0.739458, Loss 0.647469, forward nfe 850, backward nfe 3072, Train: 0.9625, Val: 0.7291, Test: 0.7742, Best time: 101.0224
Epoch: 013/250, Runtime 0.752271, Loss 0.610655, forward nfe 926, backward nfe 3328, Train: 0.9688, Val: 0.7672, Test: 0.7976, Best time: 170.3086
Epoch: 014/250, Runtime 0.760685, Loss 0.524482, forward nfe 1002, backward nfe 3584, Train: 0.9750, Val: 0.8261, Test: 0.8513, Best time: 64.0000
Epoch: 015/250, Runtime 0.750821, Loss 0.466325, forward nfe 1072, backward nfe 3840, Train: 0.9875, Val: 0.8813, Test: 0.8931, Best time: 64.0000
Epoch: 016/250, Runtime 0.697056, Loss 0.436596, forward nfe 1142, backward nfe 4096, Train: 0.9750, Val: 0.8896, Test: 0.9121, Best time: 64.0000
Epoch: 017/250, Runtime 0.715686, Loss 0.408290, forward nfe 1212, backward nfe 4352, Train: 0.9625, Val: 0.8970, Test: 0.9167, Best time: 201.9498
Epoch: 018/250, Runtime 0.721572, Loss 0.386713, forward nfe 1282, backward nfe 4608, Train: 0.9625, Val: 0.8970, Test: 0.9167, Best time: 64.0000
Epoch: 019/250, Runtime 0.780101, Loss 0.340043, forward nfe 1358, backward nfe 4864, Train: 0.9625, Val: 0.8970, Test: 0.9167, Best time: 64.0000
Epoch: 020/250, Runtime 0.706791, Loss 0.271144, forward nfe 1434, backward nfe 5120, Train: 0.9625, Val: 0.8970, Test: 0.9167, Best time: 64.0000
Epoch: 021/250, Runtime 0.729914, Loss 0.246073, forward nfe 1504, backward nfe 5376, Train: 0.9625, Val: 0.8970, Test: 0.9167, Best time: 64.0000
Epoch: 022/250, Runtime 0.711771, Loss 0.257115, forward nfe 1574, backward nfe 5632, Train: 0.9625, Val: 0.8970, Test: 0.9167, Best time: 64.0000
Epoch: 023/250, Runtime 0.712196, Loss 0.219274, forward nfe 1644, backward nfe 5888, Train: 0.9625, Val: 0.8970, Test: 0.9167, Best time: 64.0000
Epoch: 024/250, Runtime 0.793235, Loss 0.229459, forward nfe 1720, backward nfe 6144, Train: 0.9625, Val: 0.8970, Test: 0.9167, Best time: 64.0000
